Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
25-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17808,,7271.00
,,Being the amount paid towards FACT stock Loading- 179.000mts@30/- UNloading - 42.250mts@45/-   as per details enclosed.25.6.2020,,,,,,
25-06-2020,Dr,BGM FCI GH Expense,,,Payment,17809,,4145.00
,,Being the amount paid towards FCI stock  Unloading - 1219bags@3.4/-   as per details enclosed.25.6.2020,,,,,,
25-06-2020,Dr,BGM FCI GH Expense,,,Payment,17810,,18975.00
,,Being the amount paid towards FCI rice stock unloading charges 5584 Bags @ Rs.3.4/-,,,,,,
25-06-2020,Dr,BGM FCI GH Expense,,,Payment,17811,,10530.00
,,Being the amount paid towards FCI rice stock unloading charges 3510 Bags @ Rs.30/-,,,,,,
25-06-2020,Dr,BGM FCI GH Expense,,,Payment,17812,,11088.00
,,Being the amount paid towards FCI rice stock unloading charges 3696 Bags @ Rs.3/-,,,,,,
25-06-2020,Dr,BGM FCI GH Expense,,,Payment,17813,,10152.00
,,Being the amount paid towards FCI rice stock unloading charges 3384 Bags @ Rs.3/-,,,,,,
25-06-2020,Dr,BGM FCI GH Expense,,,Payment,17814,,10026.00
,,Being the amount paid towards FCI rice stock unloading charges 3342 Bags @ Rs.3/-,,,,,,
26-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2183,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
26-06-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,17979,,7300.00
,,Being the Advance Amount paid towards spic tpt  FL no:  40381 - 40376,,,,,,
26-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,17980,,5500.00
,,Being the Advance  amount paid towards Fl no : 40406 - 40402,,,,,,
26-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,17981,,1498.00
,,Being the amount paid towards SPIC stock unloading charges - 49.950 Mts @ Rs.30/-,,,,,,
26-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,17982,,1200.00
,,Being the amount paid towards GSFL stock  loading charges - 40.000 mts @ Rs.30/-,,,,,,
26-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17983,,3840.00
,,Being the amount paid towards FACT stock  Unloading - 128mts@30/-   as per details enclosed.26.6.2020,,,,,,
26-06-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,17984,,400.00
,,Being the amount paid towards FCI Water tank   as per details enclosed.26.6.2020,,,,,,
26-06-2020,Dr,Bgm Tele Phone Expenses,,,Payment,17985,,370.00
,,Being the Tele Phone charges payable for the month of May month - 2020 Ph  No 7349672324,,,,,,
26-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,17986,,11685.00
26-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,17987,,5175.00
,,Being LTPT Charges payable for 78.750 mts @ 180/- = (14175-9000),,,,,,
26-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,17988,,3900.00
,,Being LTPT Charges payable for 80.000 mts @ 180/- = (14400 - 10500),,,,,,
26-06-2020,Cr,Bgm Misc.Income,,,Receipt,2209,7040.00,
,,Being paid towards fromOutstanding lorry RH Sales Loading charges Dtd : 22.6.2020 352.000mts@20/- Dealers truck laber warni/ Mamul,,,,,,
26-06-2020,Cr,Bgm Misc.Income,,,Receipt,2210,8400.00,
,,Being paid towards fromOutstanding lorry RH Sales Loading charges Dtd : 12.6.2020   420.000mts@20/- Dealers truck laber warni/ Mamul,,,,,,
27-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,18060,,1445.00
,,Being the amount paid towards SPIC stock unloading charges - 48.150 Mts @ Rs.30/-,,,,,,
27-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2213,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
27-06-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,18131,,18233.00
,,Being the Advance Amount paid towards spic tpt  FL no:  40385 - 40382,,,,,,
27-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,18132,,13100.00
,,"Being the Advance  amount paid towards Fl no : 40409,40408,40407",,,,,,
27-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,18133,,960.00
,,Being the amount paid towards GSFL stock  loading charges - 32.000 mts @ Rs.30/-,,,,,,
27-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,18134,,10710.00
,,Being the amount paid towards FACT stock  Unloading - 357mts@30/-   as per details enclosed.26.6.2020,,,,,,
27-06-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,18135,,250.00
,,Being amount paid t/w labours welafare charges,,,,,,
27-06-2020,Dr,Bgm Pooja Expenses,,,Payment,18136,,150.00
,,Being the amount paid towards Pooja expense,,,,,,
27-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,18137,,26370.00
,,Being the FACT rake LTPT Payment 246.500mts@180/- 44370-18000 Doc No: 64013 - 64040,,,,,,
27-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,18138,,2678.00
,,Being the ltpt amt paid towards SPIC Rake LTPT balance payment  62.100mts@180/-=11178-8500,,,,,,
27-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,18139,,7387.00
,,Being LTPT Charges payable for 152.150 mts @ 180/- = (27387 - 20000),,,,,,
29-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2240,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
29-06-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,18368,,16000.00
,,Being the Advance Amount paid towards spic tpt  FL no:  40390 - 40391,,,,,,
29-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,18369,,8600.00
,,"Being the Advance  amount paid towards Fl no : 40412,40411,40410",,,,,,
29-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,18370,,885.00
,,Being the amount paid towards GSFL stock  loading charges - 29.500 mts @ Rs.30/-,,,,,,
29-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,18371,,2147.00
,,Being the amount paid towards SPIC stock unloading charges - 17.550 Mts @ Rs.30/-,,,,,,
29-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,18372,,300.00
,,Being the amount paid towards FACT stock  Unloading - 10.000mts@30/-   as per details enclosed.26.6.2020,,,,,,
29-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,18373,,13360.00
,,Being the FACT rake LTPT Payment 152.000mts@180/-  27360-14000 Doc no: 64038 - 64018,,,,,,
29-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,18374,,6022.00
,,Being the ltpt amt paid towards SPIC Rake LTPT balance payment  72.900mts@180/-=13122-7100,,,,,,
29-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,18375,,3100.00
,,Being LTPT Charges payable for 45.000 mts @ 180/- = 8100-5000,,,,,,
30-06-2020,Cr,BOI Belgaum apmc yard 111020110000497,,,Contra,766,15000.00,
,,Cheque,8996927,30-06-2020,15000.00 Cr,,,
,,Being the Internet Tr No 8996927 Paid towards  Cash withdrawn ( Umesh ),,,,,,
30-06-2020,Cr,BOI Belgaum apmc yard 111020110000497,,,Contra,767,15000.00,
,,Cheque,8996933,30-06-2020,15000.00 Cr,,,
,,Being the Internet Tr No 8996933 Paid towards  Cash withdrawn ( Ramesh C ),,,,,,
30-06-2020,Cr,BOI Belgaum apmc yard 111020110000497,,,Contra,768,15000.00,
,,Cheque,8996951,30-06-2020,15000.00 Cr,,,
,,Being the Internet Tr No 8996951 Paid towards  Cash withdrawn ( Zahid),,,,,,
30-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,18685,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.000 mts @ Rs.30/-,,,,,,
30-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,18686,,297.00
,,Being the amount paid towards SPIC stock unloading charges - 9.900 Mts @ Rs.30/-,,,,,,
30-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,18687,,1350.00
,,Being the amount paid towards FACT stock  Unloading - 45.000mts@30/-   as per details enclosed.26.6.2020,,,,,,
30-06-2020,Dr,BGM FCI GH Expense,,,Payment,18688,,14664.00
,,Being the amount paid towards FCI rice stock unloading charges 4313 Bags @ Rs.3.40,,,,,,
30-06-2020,Dr,BGM FCI GH Expense,,,Payment,18689,,18431.00
,,Being the amount paid towards FCI rice stock unloading charges 5421 Bags @ Rs.3.40,,,,,,
30-06-2020,Dr,BGM FCI GH Expense,,,Payment,18690,,12930.00
,,Being the amount paid towards FCI rice stock unloading charges 4310 Bags @ Rs.3.40,,,,,,
30-06-2020,Dr,BGM FCI GH Expense,,,Payment,18691,,12969.00
,,Being the amount paid towards FCI rice stock unloading charges 4323 Bags @ Rs.3.40,,,,,,
30-06-2020,Dr,BGM FCI GH Expense,,,Payment,18692,,18775.00
,,Being the amount paid towards FCI rice stock unloading charges 5522 Bags @ Rs.3.40,,,,,,
30-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,18693,,6630.00
,,Being the FACT rake LTPT Payment 103.500mts@180/-  18630-12000 Doc no:  64003 - 64041,,,,,,
30-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,18694,,2733.00
,,Being the ltpt amt paid towards SPIC Rake LTPT balance payment  59.625mts@180/-=10733-8000,,,,,,
30-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,18695,,5520.00
,,Being LTPT Charges payable for 89.000 mts @ 180/- = 16020-10500,,,,,,
30-06-2020,Dr,Bgm Bank Charges,,,Payment,18696,,103.00
,,Being the amount paid towards DD commission wages Dtd: 25.6.2020,,,,,,
30-06-2020,Dr,Bgm Bank Charges,,,Payment,18697,,141.00
,,Being the amount paid towards DD commission wages Dtd: 25.6.2020,,,,,,
30-06-2020,Dr,Bgm Bank Charges,,,Payment,18698,,100.00
,,Being the amount paid towards DD commission wages Dtd: 25.6.2020,,,,,,
01-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2333,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
01-07-2020,Cr,BOI Belgaum apmc yard 111020110000497,,,Contra,777,155000.00,
,,Cheque,249040,01-07-2020,155000.00 Cr,,,
,,Being Cash withdrawn by Umesh Ch#249040,,,,,,
01-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,18921,,7700.00
,,"Being the Advance Amount paid towards spic tpt  FL no:  40395,40393",,,,,,
01-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,18922,,12900.00
,,"Being the Advance  amount paid towards Fl no : 40416,40415,40414",,,,,,
01-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,18923,,1579.00
,,Being the amount paid towards SPIC stock unloading charges - 52.650 Mts @ Rs.30/-,,,,,,
01-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,18924,,1200.00
,,Being the amount paid towards GSFL stock  loading charges - 40.000 mts @ Rs.30/-,,,,,,
01-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,18925,,810.00
,,Being the amount paid towards FACT stock  Unloading - 27.000mts@30/-,,,,,,
01-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2334,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
02-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,19173,,648.00
,,Being the Advance Amount paid towards spic tpt  FL no:  40397,,,,,,
02-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19174,,330.00
,,Being the amount paid towards FACT stock  Unloading - 11.000mts@30/-,,,,,,
02-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,19175,,162.00
,,Being the amount paid towards SPIC stock unloading charges - 5.400 Mts @ Rs.30/-,,,,,,
02-07-2020,Dr,Bgm Godown Maintenence,,,Payment,19176,,492.00
,,Being the amount paid towards water tank for FCI godown purpose.,,,,,,
02-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,19177,,2140.00
,,"Being the FACT rake LTPT Payment 48.000mts@180/-   Doc no:  64027,64026,64048",,,,,,
02-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,19178,,754.00
,,Being LTPT Charges payable for 15.300 mts @ 180/- Doc: 221,,,,,,
02-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,19179,,560.00
,,Being the Balance  amount paid towards Fl no : 40404,,,,,,
02-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,19180,,21746.00
,,Being the Balance Amount paid towards spic tpt  FL no:  40388 - 403351,,,,,,
03-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2396,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
03-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2397,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
03-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2398,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
03-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19355,,11349.00
,,Being the amount paid towards FACT stock  Unloading - 252.200mts@45/-,,,,,,
03-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19356,,13800.00
,,Being the amount paid towards FACT stock  Unloading - 276.000mts@50/-,,,,,,
03-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,19357,,56200.00
,,Being the FACT rake LTPT Payment 503.200mts@180/-   Doc no:  64074 - 64070,,,,,,
04-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,19562,,6000.00
,,"Being the Balance Amount paid towards spic tpt  FL no:  40399,40398",,,,,,
04-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,19563,,11000.00
,,"Being the Balance  amount paid towards Fl no : 40419,40418",,,,,,
04-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,19564,,797.00
,,Being the amount paid towards SPIC stock unloading charges - 26.550 Mts @ Rs.30/-,,,,,,
04-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,19565,,780.00
,,Being the amount paid towards GSFL stock  loading charges - 26.000 mts @ Rs.30/-,,,,,,
04-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19566,,3299.00
,,Being the amount paid towards FACT stock  Unloading -6.650mts@45/- Loading - 100mts@30/-,,,,,,
04-07-2020,Dr,Bgm Fact Stand Expense,,,Payment,19567,,500.00
,,Being the amount paid towards Fact stock rebagging charges 50 bags @ 10/-,,,,,,
04-07-2020,Dr,Bgm Spic Stdn Exp,,,Payment,19568,,100.00
,,Being amount paid towards Stock regester charges 10Bags @10/-,,,,,,
04-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,19569,,400.00
,,Being the amount paid towards FCI Water tank   as per details enclosed 4.7.2020,,,,,,
06-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2452,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
06-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2453,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
06-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2454,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
06-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2455,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
06-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19768,,4410.00
,,Being the amount paid towards FACT stock  Loading - 147mts@30/-,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19769,,7000.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19770,,7000.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19771,,7000.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19772,,7000.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19773,,7000.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19774,,7000.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19775,,4500.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19776,,4500.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19777,,4500.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19778,,4500.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19779,,4500.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,19780,,4500.00
,,Being the amount paid towards FCI Godown QC casuval laber salary for the month June - 2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19790,,1500.00
,,Being the amount paid towards FCI stock  Unloading - 3members@500/-   as per details enclosed.17.06-.2020 - 23.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19791,,12500.00
,,Being the amount paid towards FCI stock  Rebaging - 25pices@500/-   as per details enclosed.18.06-.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19792,,12000.00
,,Being the amount paid towards FCI stock Reabing - 24pices@500/-   as per details enclosed.24.06-.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19793,,12000.00
,,Being the amount paid towards FCI stock Reabing - 24pices@500/-   as per details enclosed.4.07-.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19794,,19910.00
,,Being the amount paid towards FCI stock Reabing - 5856pices@3.4/-   as per details enclosed.19.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19795,,10509.00
,,Being the amount paid towards FCI stock Unloading - 309.00pices@3.4/-   as per details enclosed.19.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19796,,10513.00
,,Being the amount paid towards FCI stock Unloading - 3092.00pices@3.40/-   as per details enclosed.19.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19797,,19890.00
,,Being the amount paid towards FCI stock Unloading - 5850bags@3.40/-   as per details enclosed.19.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19798,,19999.00
,,Being the amount paid towards FCI stock Unloading - 5882bags@3.40/-   as per details enclosed.19.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19799,,19863.00
,,Being the amount paid towards FCI stock Unloading - 5842bags@3.40/-   as per details enclosed.25.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19800,,19924.00
,,Being the amount paid towards FCI stock Unloading - 5860bags@3.40/-   as per details enclosed.25.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19801,,19815.00
,,Being the amount paid towards FCI stock Unloading - 5828bags@3.40/-   as per details enclosed.25.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19802,,19876.00
,,Being the amount paid towards FCI stock Unloading - 5846bags@3.40/-   as per details enclosed.25.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19803,,12968.00
,,Being the amount paid towards FCI stock Unloading - 3814bags@3.40/-   as per details enclosed.25.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19804,,12964.00
,,Being the amount paid towards FCI stock Unloading - 3813bags@3.40/-   as per details enclosed.25.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19805,,19883.00
,,Being the amount paid towards FCI stock Unloading - 5848bags@3.40/-   as per details enclosed.30.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19806,,19910.00
,,Being the amount paid towards FCI stock Unloading - 5856bags@3.40/-   as per details enclosed.30.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19807,,19897.00
,,Being the amount paid towards FCI stock Unloading - 5852bags@3.40/-   as per details enclosed.30.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19808,,19815.00
,,Being the amount paid towards FCI stock Unloading - 5828bags@3.40/-   as per details enclosed.30.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19809,,10540.00
,,Being the amount paid towards FCI stock Unloading - 3100bags@3.40/-   as per details enclosed.30.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19810,,10550.00
,,Being the amount paid towards FCI stock Unloading - 3103bags@3.40/-   as per details enclosed.30.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19811,,16825.00
,,Being the amount paid towards FCI stock Unloading - 8855bags@1.90/-   as per details enclosed.18.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19812,,16824.00
,,Being the amount paid towards FCI stock Unloading - 8855bags@1.90/-   as per details enclosed.18.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19813,,19281.00
,,Being the amount paid towards FCI stock Unloading - 10148bags@1.90/-   as per details enclosed.18.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19814,,17959.00
,,Being the amount paid towards FCI stock Unloading - 9452bags@1.90/-   as per details enclosed.22.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19815,,17961.00
,,Being the amount paid towards FCI stock Unloading - 9453bags@1.90/-   as per details enclosed.22.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19816,,18795.00
,,Being the amount paid towards FCI stock Unloading - 9892bags@1.90/-   as per details enclosed.23.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19817,,5257.00
,,Being the amount paid towards FCI stock Unloading - 2767bags@1.90/-   as per details enclosed.23.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19818,,17788.00
,,Being the amount paid towards FCI stock Unloading - 9362bags@1.90/-   as per details enclosed.24.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19819,,10798.00
,,Being the amount paid towards FCI stock Unloading - 5683bags@1.90/-   as per details enclosed.26.06.2020,,,,,,
06-07-2020,Dr,BGM FCI GH Expense,,,Payment,19820,,11170.00
,,Being the amount paid towards FCI stock Unloading - 5879bags@1.90/-   as per details enclosed.27.06.2020,,,,,,
06-07-2020,Dr,Bgm Godown Maintenence,,,Payment,19821,,2000.00
,,Being the amount paid towards water tank for FCI godown purpose. June - 2020,,,,,,
06-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,19822,,3125.00
,,Being the FACT rake LTPT Payment 25.000mts@185/-   Doc no:  64076,,,,,,
06-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,19823,,7150.00
,,"Being the FACT rake LTPT Payment 57.500mts@180/-   Doc no:  64062,64075",,,,,,
06-07-2020,Dr,Bgm Fact RH Expenses,,,Payment,19824,,60282.00
,,"Being the amount paid towards FACT stock Wagons to truck- 955.000@35/- ,Wagons to wharf - 358.100@35/-, wharf to truck - 358.100@40/-  as per details enclosed.3.7.2020",,,,,,
06-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,19825,,14837.00
,,Being the Balance  amount paid towards Fl no : 40348 - 40332,,,,,,
06-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19826,,12400.00
,,Being the amount paid towards FACT stock  Loading - 248mts@50/-,,,,,,
06-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,19827,,9250.00
,,Being the amount paid towards FACT stock  Loading - 185mts@50/-,,,,,,
06-07-2020,Dr,BGM FCI Reimbursement Expense,,,Payment,19844,,6335.00
,,Being amount paid towards Rice rebaging charges 905 bags @ Rs7/- Dt.17.06.2020,,,,,,
07-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2461,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
07-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2462,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
07-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,20202,,87500.00
,,Being the FACT rake LTPT Payment 57.500mts@180/-   Doc no:  64080 - 53071,,,,,,
08-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,20361,,9640.00
,,Being the amount paid towards FACT stock  Loading - 20.000mts@30/- Unloading - 54.900mts@45/-  unloading - 146.000mts@45/-,,,,,,
08-07-2020,Dr,Bgm Godown Maintenence,,,Payment,20362,,450.00
,,Being the amount paid towards water tank for FCI godown purpose. June - 2020,,,,,,
08-07-2020,Dr,Bgm Printing & Stationery,,,Payment,20363,,180.00
,,Being amount paid t/w Stationary charges B2B paper bundal purchage charges.,,,,,,
08-07-2020,Dr,Bgm Conveyence Expenses,,,Payment,20364,,120.00
,,Being the amount paid towards FCI Labour vehicle charges,,,,,,
09-07-2020,Dr,Bgm Fact RH Expenses,,,Payment,20690,,62364.00
,,"Being the amount paid towards FACT stock Wagons to truck- 913.450@35/- ,Wagons to wharf - 405.250@35/-, wharf to truck - 405.250@40/-  as per details enclosed.7.7.2020 (21W)",,,,,,
09-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,20691,,6972.00
,,"Being the Advance Amount paid towards spic tpt  FL no:  41752,41751,40400",,,,,,
09-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,20692,,1161.00
,,Being the amount paid towards SPIC stock unloading charges - 38.700 Mts @ Rs.30/-,,,,,,
09-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,20693,,5520.00
,,Being the amount paid towards FACT stock  Loading - 184.000mts@30/-,,,,,,
09-07-2020,Cr,Bgm Misc.Income,,,Receipt,2546,7975.00,
,,Being paid towards from Outside lorry RH Sales Loading charges Dtd : 07.07.2020 .398.750 @Rs 20/-.,,,,,,
